base,esquema,tipo,nombre,base_destino_postgresql,esquema_destino,sin_destino,sistemas_uso
catastro_gdl,informix,SP,admin_encabezados_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08_18,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08_rec0,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08_test_2022,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08_x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_085,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08bf,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08bf17,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08resol,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08respal,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_08zz,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10act,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10ant,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10ck,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10s,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_10x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_11,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_12x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_31,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_impre_detalle_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_impre_detalle_08_rec0,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_impre_detalle_08bf,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_impre_detalle_08resp_13nov,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_impre_detalle_08t,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_inspred_22,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08_resp13nov,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08bf,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08m,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08odoo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_08odooe,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_11,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_12_ant,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_12_resp,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_12x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_15,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_16,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_16_elect,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_pago_27,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_terceros_det,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_terceros_detx,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_terceros_enc,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_terceros_encd,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_15,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_verif_cancela_27,padron_licencias,comun,NO,
catastro_gdl,informix,SP,adminsp_encabezados06,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_adeudospred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_adeudospred1,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_adeudospredk,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_cancpred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_datospred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_dectopred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admsp_lic_adeudos,padron_licencias,comun,NO,
